train_loss,val_accuracy,val_f1_macro
0.9953913,0.7727272727272727,0.2905982905982906
0.90517384,0.7727272727272727,0.4171630838297505
0.8842697,0.7727272727272727,0.36000000000000004
0.8300192,0.6704545454545454,0.41269841269841273
0.7943052,0.75,0.49990483803433444
0.7598469,0.6818181818181818,0.4128466816583059
0.7757933,0.7386363636363636,0.40462922010909624
0.7803529,0.6931818181818182,0.44777823824653495
0.73647773,0.7840909090909091,0.49689771013300427
0.67319643,0.7727272727272727,0.4337084148727984
0.7420408,0.75,0.5707821590174532
0.6985815,0.7613636363636364,0.5264411027568922
0.65872264,0.7954545454545454,0.6471350790770029
0.7156619,0.7613636363636364,0.5041407867494824
0.7013464,0.7613636363636364,0.49069527792932055
0.6878771,0.7272727272727273,0.5496913580246913
0.6699003,0.7159090909090909,0.4026936026936027
0.7177472,0.7272727272727273,0.477027443724946
0.6642092,0.7272727272727273,0.36971830985915494
0.6786017,0.7727272727272727,0.5058275058275058
