Column A,Column B
0.52683455,0.9653465346534653
0.5288237,0.9653465346534653
0.5210771,0.9653465346534653
0.5270946,0.9653465346534653
0.520349,0.9653465346534653
0.34206787,0.9738330975954739
0.039668344,0.9975247524752475
0.0069392878,0.9992927864214993
0.00313441,0.9992927864214993
0.0013075804,0.9992927864214993
0.0008945605,0.9992927864214993
0.00062479835,0.9992927864214993
0.00046183888,0.9992927864214993
0.00035926342,0.9992927864214993
0.0003103375,0.9992927864214993
0.0002563279,0.9992927864214993
0.00021366417,0.9992927864214993
0.00020102889,0.9992927864214993
0.00017244845,0.9996463932107497
0.00014928562,0.9996463932107497
